tinh,huyen,xa,diaban,hoso,m5b4c2_1,m5b4c2_2,m5b4c2_3,m5b4c2_4,m5b4c2_5,m5b4c2_6,m5b4c2_7,m5b4c2_8
101,11,5.0,24,14,0,0,0,0,0,0,0,0
101,11,5.0,24,15,0,0,0,0,0,0,0,0
101,11,5.0,24,19,0,0,0,0,0,0,0,0
101,11,17.0,33,13,0,0,0,0,0,0,0,0
101,11,17.0,33,14,0,0,0,0,0,0,0,0
101,11,17.0,33,15,0,0,0,10000,0,0,0,0
101,11,21.0,9,13,0,0,0,0,0,0,0,0
101,11,21.0,9,14,0,0,0,0,0,0,0,0
101,11,21.0,9,15,0,0,0,0,0,0,0,0
101,13,1.0,13,13,8000,0,0,0,0,0,0,0
101,13,1.0,13,14,0,0,0,15000,0,0,0,0
101,13,1.0,13,20,0,0,0,0,0,0,0,0
101,13,5.0,19,13,0,0,0,0,0,0,0,0
101,13,5.0,19,15,0,0,0,0,0,0,0,0
101,13,5.0,19,20,0,0,0,0,0,0,0,0
101,13,7.0,15,14,615000,0,0,380000,0,0,405000,0
