tinh,huyen,xa,diaban,hoso,m3c6,m3c16,m3c17,m3c18,m3c19,m3ct1,m3ct2,m3ct,m4atn1,m4atn2,m4atn3,m4atn4,m4atn5,m4atn,m4b0c1,m4b0t1,m4b0t2,m4b1a,m4b1b,m4b11t,m4b12t,m4b13t,m4b14t,m4b15t,m4b16c3a,m4b16c3b,m4b16c3c,m4b1t,m4b1c,m4b1tn,m4b21a,m4b21b,m4b21t
101,7,27.0,3,15,2,400,0,80,0,0,0,480.0,48502,4798,0,0,0,53300.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,33.0,21,15,2,370,50,40,0,0,0,460.0,86961,19859,0,0,0,106820.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,33.0,21,20,1,5000,350,240,4261,0,3500,9090.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,33.0,21,24,1,300,50,80,85,0,500,930.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,37.0,15,13,1,6200,230,0,0,1650,0,8080.0,65879,13036,0,0,0,78915.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,37.0,15,14,1,8050,250,0,0,3590,0,11890.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,37.0,15,15,1,4250,2300,0,0,450,0,7000.0,33061,1377,0,0,0,34438.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,3.0,7,13,2,250,30,100,87,0,0,380.0,35591,7852,0,0,0,43443.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,3.0,7,14,1,105,20,50,87,0,0,175.0,18406,1745,0,0,0,20151.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,3.0,7,15,1,80,20,90,0,25,0,215.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,5.0,16,13,1,800,120,0,203,870,1850,3640.0,46836,30582,0,0,0,77418.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,5.0,16,14,1,2500,50,0,0,3450,1500,7500.0,63825,17449,0,0,0,81274.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,5.0,16,15,1,250,20,0,0,4210,1250,5730.0,40824,3665,0,0,0,44489.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,7.0,18,14,2,790,60,0,0,0,0,850.0,111806,7532,0,0,0,119338.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,7.0,18,19,2,800,85,100,0,0,0,985.0,82652,23418,0,0,0,106070.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,7.0,18,20,1,60,22,0,0,200,0,282.0,23142,459,0,0,0,23601.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,15.0,27,14,2,300,50,260,0,0,0,610.0,47107,2616,0,0,0,49723.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,15.0,27,15,1,2000,50,0,0,1500,0,3550.0,18367,0,0,0,0,18367.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,15.0,27,20,1,2000,50,240,3696,2300,0,4590.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,19.0,22,14,2,650,80,300,0,0,0,1030.0,42978,3673,0,0,0,46651.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,19.0,22,15,2,800,120,100,0,0,0,1020.0,19836,1562,0,0,0,21398.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,19.0,22,20,1,2400,130,0,0,500,0,3030.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,25.0,6,14,1,850,20,0,0,4000,0,4870.0,38571,5969,0,0,0,44540.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,25.0,6,15,1,200,100,0,277,650,0,950.0,39489,23418,0,0,0,62907.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,25.0,6,19,1,200,20,0,0,600,0,820.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,27.0,16,13,1,380,55,120,87,1070,0,1625.0,68252,4754,0,0,0,73006.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,27.0,16,14,1,750,60,325,0,65,0,1200.0,17392,753,0,0,0,18145.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,8,27.0,16,15,1,3450,60,0,0,0,0,3510.0,68986,1318,0,0,0,70304.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,3.0,23,13,2,370,0,50,0,0,0,420.0,47754,8266,0,0,0,56020.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,3.0,23,14,2,1500,0,0,0,0,0,1500.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,3.0,23,15,2,350,20,0,0,0,0,370.0,63146,15611,0,0,0,78757.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,5.0,8,14,1,400,0,0,0,200,0,600.0,29674,7059,24845,94,0,61672.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,5.0,8,15,2,250,20,100,0,0,0,370.0,15702,306,0,0,0,16008.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,5.0,8,24,2,300,50,150,0,0,0,500.0,15428,7347,0,0,0,22775.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,11.0,35,13,2,450,0,0,0,0,0,450.0,35999,10470,0,0,0,46469.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,11.0,35,14,1,300,50,0,0,350,0,700.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,11.0,35,20,2,450,50,50,0,0,0,550.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,15.0,15,13,1,1850,20,0,346,420,0,2290.0,79055,14117,0,0,0,93172.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,15.0,15,15,1,2200,50,0,521,240,0,2490.0,135523,41973,0,0,0,177496.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,9,15.0,15,19,1,970,50,0,190,150,0,1170.0,79055,7530,0,0,0,86585.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
