tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
501,1,19,13,15,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,1,19,13,15,6,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,19,13,15,7,2,2,2,2,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,21,14,13,1,1,2,2,1,,23,85,12,28,8,2,4,1,34632,4618,0,0,6542,3559,14719,2,,,,,,,,,,,,,,0,,,,1,2
501,1,21,14,13,2,1,2,2,1,,24,35,12,26,8,12,6,,28860,5483,0,9620,0,4618,19721,2,,,,,,,,,,,,,,0,,,,1,3
501,1,21,14,14,1,1,2,2,1,,33,85,12,24,8,8,4,1,45603,1425,0,0,0,950,2375,2,,,,,,,,,,,,,,0,,,,1,1
501,1,21,14,14,2,1,2,2,1,,24,42,10,26,8,3,6,,19001,2375,0,1425,0,2661,6461,2,,,,,,,,,,,,,,0,,,,1,3
501,1,21,14,15,1,1,2,2,1,,21,42,8,26,9,4,6,,40404,5772,0,0,0,11544,17316,2,,,,,,,,,,,,,,0,,,,2,
501,1,21,14,15,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
501,1,21,14,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,21,14,15,4,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
501,3,1,8,13,1,1,2,2,1,,41,84,12,20,8,30,4,1,24358,1443,0,0,1732,3367,6542,2,,,,,,,,,,,,,,0,,,,1,2
501,3,1,8,13,2,1,2,2,1,,24,45,12,24,8,1,6,,20779,481,0,0,0,0,481,2,,,,,,,,,,,,,,0,,,,1,2
501,3,1,8,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,3,1,8,13,4,1,2,2,1,,41,84,12,20,8,1,4,1,9466,481,0,0,1732,962,3175,2,,,,,,,,,,,,,,0,,,,1,2
501,3,1,8,14,1,2,2,1,1,,74,14,12,30,8,3,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,6
501,3,1,8,14,2,1,2,2,1,,61,3,12,25,8,12,3,,23414,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,2
501,3,1,8,14,4,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,3,1,8,15,1,2,2,1,1,,51,56,12,30,10,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,4
501,3,1,8,15,2,1,2,2,1,,91,46,3,30,8,1,6,,2309,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,1
501,3,1,8,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,3,1,8,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,3,3,28,13,1,1,2,2,1,,21,84,12,20,8,26,4,1,39903,1140,0,0,0,0,1140,2,,,,,,,,,,,,,,0,,,,1,1
501,3,3,28,13,2,1,2,2,1,,23,85,12,20,8,21,4,1,28502,285,0,0,0,0,285,2,,,,,,,,,,,,,,0,,,,1,3
501,3,3,28,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,3,3,28,13,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,3,3,28,14,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,4
501,3,3,28,14,2,1,2,2,1,,21,42,12,20,8,10,4,2,34203,47,0,0,0,0,47,2,,,,,,,,,,,,,,0,,,,1,1
501,3,3,28,14,3,1,2,2,1,,24,47,12,20,8,8,4,1,22802,950,0,0,0,0,950,2,,,,,,,,,,,,,,0,,,,1,2
501,3,3,28,19,1,2,2,2,2,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,3,3,28,19,2,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,4
501,3,3,28,19,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
501,3,3,28,19,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,3,5,37,14,1,1,2,2,1,,71,41,10,26,8,5,3,,15999,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,1
501,3,5,37,14,2,2,2,1,1,,52,47,12,30,8,3,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,4
501,3,5,37,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,3,5,37,14,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,3,5,37,15,1,2,1,2,1,,61,1,12,30,8,2,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
501,3,5,37,15,2,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,8
501,3,5,37,15,3,1,2,2,1,,33,85,12,26,8,1,6,,23414,195,0,0,0,0,195,2,,,,,,,,,,,,,,0,,,,1,2
501,3,5,37,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
501,3,5,37,15,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
