tinh,huyen,xa,diaban,hoso,matv,m4ac4m,m4ac5c,m4ac5m,m4ac14m,m4ac15c,m4ac15m
101,7,27.0,3,15,1.0,NV v¨n phßng,XN SC toa xe,SC toa xe,,,
101,7,33.0,21,15,2.0,chuyªn viªn p. Hµnh chÝnh,Tæng c«ng ty Ho¸ ChÊt,KD ho¸ chÊt,,,
101,7,33.0,21,15,1.0,chuyªn viªn KD,tæng c«ng ty ho¸ chÊt,kinh doanh ho¸ chÊt,,,
101,7,33.0,21,20,1.0,b¸n bu l«ng èc vÝt,tù lµm,bulong èc vÝt,,,
101,7,33.0,21,20,2.0,bu«n b¸n bu l«ng,tù lµm,bu l«ng èc vÝt,,,
101,7,33.0,21,24,,,,,,,
101,7,37.0,15,13,4.0,D¹y häc,Tr­êng TH Ph­¬ng LiÖt,Gi¸o dôc,,,
101,7,37.0,15,13,3.0,NV kinh doanh,CT §« Thµnh,KD thuuèc t©n d­îc,,,
101,7,37.0,15,14,,,,,,,
101,7,37.0,15,15,2.0,L¸i xe,Hé c¸ thÓ,VËn chuyÓn HH,,,
101,8,3.0,7,13,2.0,Hé lý bÖnh viÖn,BviÖn tai mòi hong TW,Kh¸m ch÷a bÖnh,,,
101,8,3.0,7,13,1.0,CN c¬ khÝ,TNHH ABB,ChÕ t¹o biÕn thÕ,,,
101,8,3.0,7,14,1.0,nh©n viªn b¸n hµng,TNHH sx vµ TM T©n Mü,sx bån n­íc,,,
101,8,3.0,7,15,1.0,l¸i xe «m,vË chuyÓn kh¸ch,vËn chuyÓn kh¸ch,Röa xe m¸y,tù lµm,röa xe m¸y
101,8,3.0,7,15,2.0,röa xe m¸y,tù lµm,röa xe m¸y,,,
101,8,5.0,16,13,2.0,CB Ng©n hµng,NH C«ng th­¬ng HN,H§ tµi chÝnh,,,
101,8,5.0,16,13,1.0,CB XNK,Cty XNK Vinexin,XNk,,,
101,8,5.0,16,14,1.0,kü s­ giao th«ng,TT ®iÒu hµnh vt ®g s¾t,chë kh¸ch,,,
101,8,5.0,16,14,2.0,gi¸o viªn,Tr­êng b¸n c«ng ®èng ®a,gi¸o dôc,,,
101,8,5.0,16,15,4.0,B¸n hµng,Cty s÷a Hµ lan,B¸n hµng,,,
101,8,5.0,16,15,3.0,B¸n hµng,Cty s÷a vinamilk,B¸n hµng,,,
101,8,7.0,18,14,2.0,c¸n bé,c«ng ty rau qu¶ 1,XNK rau qu¶,,,
101,8,7.0,18,14,3.0,nh©n viªn v¨n phßng,c«ng ty rau qu¶,XNK rau qu¶,,,
101,8,7.0,18,14,4.0,nh©n viªn,c«ng ty qu¶ng c¸o trÎ,qu¶ng c¸o,,,
101,8,7.0,18,14,1.0,c¸n bé,c«ng ty rau qu¶ 1,XNK Rau Qu¶,,,
101,8,7.0,18,19,1.0,c¸n bé b­u ®iÖn,b­u ®iÖn hµ néi,dv b­u chÝnh,,,
101,8,7.0,18,19,2.0,tæ tr­ëng tæ dÖt,dÖt 8/3,sx kh¨n mÆt,,,
101,8,7.0,18,20,3.0,gia c«ng æ ®iÖn,lµm thuª,sx æ ®iÖn,,,
101,8,7.0,18,20,1.0,gia c«ng æ ®iÖn,lµm thuª,sx æ ®iÖn,,,
101,8,15.0,27,14,3.0,kÕ to¸n,cty x©y dùng nhµ sè 2,"qu¶n lý, cho thuª nhµ",,,
101,8,15.0,27,14,2.0,b¶o vÖ,tËp ®oµn b­u chÝnh viÔn«n,qu¶n lý viÔn th«ng,,,
101,8,15.0,27,15,2.0,phô b¸n bón,chî t©n mai,b¸n bón,,,
101,8,15.0,27,15,3.0,b¸n quÇn ¸o,chî t©n mai,b¸n quÇn ¸o,,,
