tinh,huyen,xa,diaban,hoso,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1ct,m5b1c6,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
101,11,3.0,17,24,4454.4,4454.4,0.0,41517.1,41517.1,0.0,14858.0,14858.0,0.0,11350.0,11350.0,0.0,9000.0,10000.0
101,11,5.0,24,14,5219.5,5219.5,0.0,38362.2,38362.2,0.0,16518.0,16518.0,0.0,15585.0,15585.0,0.0,8700.0,0.0
101,11,5.0,24,15,2943.3,2943.3,0.0,15400.0,15400.0,0.0,8845.0,8845.0,0.0,15470.0,15470.0,0.0,4150.0,0.0
101,11,5.0,24,19,4444.8,4444.8,0.0,24461.5,24461.5,0.0,20070.0,20070.0,0.0,16425.0,16425.0,0.0,11620.0,0.0
101,11,17.0,33,13,2254.0,2254.0,0.0,27582.6,27582.6,0.0,8082.0,8082.0,0.0,4570.0,4570.0,0.0,4750.0,0.0
101,11,17.0,33,14,4327.7,4327.7,0.0,58596.7,58596.7,0.0,19692.0,19692.0,0.0,11925.0,11925.0,0.0,10250.0,0.0
101,11,17.0,33,15,1824.0,1824.0,0.0,21158.1,21158.1,0.0,5163.0,5163.0,0.0,5595.0,5595.0,0.0,14050.0,10000.0
101,11,21.0,9,13,1499.3,1499.3,0.0,16754.8,16754.8,0.0,5420.0,5420.0,0.0,11655.0,11655.0,0.0,6600.0,0.0
101,11,21.0,9,14,2550.7,2550.7,0.0,24447.701,24447.701,0.0,8094.0,8094.0,0.0,4645.0,4645.0,0.0,2900.0,0.0
101,11,21.0,9,15,3268.8,3268.8,0.0,29420.2,29420.2,0.0,16790.0,16790.0,0.0,11045.0,11045.0,0.0,3900.0,0.0
101,13,1.0,13,13,4000.2,3221.8,778.39996,34261.8,34261.8,0.0,4959.0,4959.0,0.0,8167.0,7967.0,200.0,69486.0,8000.0
101,13,1.0,13,14,9615.0,5686.1,3928.9,29470.701,28425.9,1044.8,9672.0,9672.0,0.0,14443.0,11243.0,3200.0,9687.0,15000.0
101,13,1.0,13,20,3074.3,2048.6,1025.7,14541.8,13541.899,999.89996,5906.0,5816.0,90.0,34786.0,12036.0,22750.0,13448.0,0.0
101,13,5.0,19,13,1635.7,1635.7,0.0,14788.601,14788.601,0.0,6712.0,6712.0,0.0,10610.0,10610.0,0.0,5150.0,0.0
101,13,5.0,19,15,1836.5,1836.5,0.0,24853.7,24853.7,0.0,7848.0,7848.0,0.0,7404.0,7404.0,0.0,6420.0,0.0
101,13,5.0,19,20,4151.4,3673.8,477.6,33976.6,33976.6,0.0,7164.0,7164.0,0.0,33300.0,32850.0,450.0,22300.0,0.0
101,13,7.0,15,14,3920.0,3585.7,334.3,24066.0,24066.0,0.0,13009.0,13009.0,0.0,10997.0,10997.0,0.0,33745.0,1400000.0
