tinh,huyen,xa,diaban,hoso,m4c2ma,m4c2c26,m4c2c27,m4c2c28
101,9,23.0,11,15,1.0,5.0,170.0,2040.0
101,9,23.0,11,15,1.0,16.0,,4788.0
101,9,23.0,11,15,1.0,13.0,4.0,48.0
101,9,23.0,11,15,1.0,7.0,43.0,516.0
101,9,23.0,11,15,1.0,14.0,85.0,1020.0
101,9,23.0,11,15,1.0,12.0,85.0,1020.0
101,9,23.0,11,15,1.0,2.0,12.0,144.0
101,9,23.0,11,15,1.0,15.0,,4788.0
101,9,23.0,11,24,,,,
101,9,31.0,10,13,,,,
101,9,31.0,10,14,,,,
101,9,31.0,10,15,,,,
101,9,33.0,10,19,,,,
101,9,33.0,10,20,1.0,12.0,18.0,216.0
101,9,33.0,10,20,1.0,7.0,27.0,324.0
101,9,33.0,10,20,1.0,5.0,269.0,3228.0
101,9,33.0,10,20,1.0,16.0,,3768.0
101,9,33.0,10,20,1.0,15.0,,3768.0
101,9,33.0,10,24,,,,
101,9,35.0,24,13,,,,
101,9,35.0,24,14,,,,
101,9,35.0,24,20,,,,
101,9,39.0,17,19,,,,
101,9,39.0,17,20,,,,
101,9,39.0,17,24,,,,
101,11,1.0,10,13,,,,
101,11,1.0,10,14,,,,
101,11,1.0,10,15,,,,
101,11,3.0,17,13,1.0,1.0,230.0,2760.0
101,11,3.0,17,13,1.0,7.0,23.0,276.0
101,11,3.0,17,13,1.0,15.0,,6228.0
101,11,3.0,17,13,1.0,3.0,55.0,660.0
101,11,3.0,17,13,1.0,2.0,138.0,1656.0
101,11,3.0,17,13,1.0,14.0,55.0,660.0
101,11,3.0,17,13,1.0,6.0,18.0,216.0
101,11,3.0,17,13,1.0,16.0,,6228.0
101,11,3.0,17,15,,,,
101,11,3.0,17,24,,,,
101,11,5.0,24,14,,,,
101,11,5.0,24,15,1.0,16.0,,696.0
101,11,5.0,24,15,1.0,3.0,27.0,324.0
101,11,5.0,24,15,1.0,2.0,9.0,108.0
101,11,5.0,24,15,1.0,15.0,,696.0
101,11,5.0,24,15,1.0,4.0,9.0,108.0
101,11,5.0,24,15,1.0,7.0,13.0,156.0
101,11,5.0,24,19,,,,
101,11,17.0,33,13,2.0,15.0,,804.0
101,11,17.0,33,13,1.0,14.0,108.0,1296.0
101,11,17.0,33,13,2.0,4.0,9.0,108.0
101,11,17.0,33,13,1.0,15.0,,23964.0
101,11,17.0,33,13,1.0,3.0,63.0,756.0
101,11,17.0,33,13,2.0,14.0,13.0,156.0
101,11,17.0,33,13,1.0,1.0,1705.0,20460.0
101,11,17.0,33,13,1.0,12.0,22.0,264.0
101,11,17.0,33,13,2.0,16.0,,804.0
101,11,17.0,33,13,2.0,3.0,18.0,216.0
101,11,17.0,33,13,1.0,2.0,45.0,540.0
101,11,17.0,33,13,2.0,5.0,27.0,324.0
